Account Number,Organization,City,Country,CDP Region,0
55801,"City of West Palm Beach, FL",West Palm Beach,United States of America,United States of America,2
56276,New Taipei City Government,New Taipei,"Taiwan, China",East Asia,1
56276,New Taipei City Government,New Taipei,"Taiwan, Greater China",East Asia,4
57347,Pingtung County Government,Pingtung County,"Taiwan, China",East Asia,1
57347,Pingtung County Government,Pingtung County,"Taiwan, Greater China",East Asia,4
57505,Alcaldía de Panamá,Panamá,Panama,Latin America,3
57509,Prefeitura Niterói,Niterói,Brazil,Latin America,2
57509,Prefeitura de Niterói,Niterói,Brazil,Latin America,3
57616,"City of Lake Forest, IL",Lake Forest,United States of America,North America,3
57616,"City of Lake Forest, IL",Lake Forest,United States of America,United States of America,2
57641,Wrexham council,Wrexham,United Kingdom of Great Britain and Northern Ireland,Europe,1
57771,Garabito,nan,Costa Rica,Latin America,1
57877,Playa del Carmen,Playa del Carmen,Mexico,Latin America,2
58310,City of Roanoke,Roanoke,United States of America,North America,3
58310,"City of Roanoke, VA",Roanoke,United States of America,United States of America,1
58323,Subotica,Subotica,Serbia,Europe,1
58346,Plymouth City Council,Plymouth,United Kingdom of Great Britain and Northern Ireland,Europe,2
58357,City of West Hollywood,West Hollywood,United States of America,North America,3
58357,"City of West Hollywood, CA",West Hollywood,United States of America,United States of America,1
58391,Maribyrnong City Council,nan,Australia,Oceania,1
58391,Maribyrnong City Council,nan,Australia,Southeast Asia and Oceania,1
58395,Bærum Kommune,Bærum,Norway,Europe,3
58395,Bærum Municipality,Bærum,Norway,Europe,1
58413,"City of Carmel, IN",Carmel,United States of America,North America,3
58424,Gdańsk,Gdańsk,Poland,Europe,2
58461,Stara Zagora,Stara Zagora,Bulgaria,Europe,1
58482,Ville de Laval,Laval,Canada,North America,2
58483,City of Surrey,nan,Canada,North America,1
58483,"City of Surrey, BC",nan,Canada,Canada,1
58483,"City of Surrey, BC",nan,Canada,nan,1
58485,Abington Township,Abington,United States of America,North America,2
58485,Abington Township,nan,United States of America,North America,1
58485,"Abington Township, PA",nan,United States of America,United States of America,2
58488,Sonderborg Kommune,Sonderborg,Denmark,Europe,1
58489,Hoeje-Taastrup Kommune,Hoeje-Taastrup,Denmark,Europe,3
58489,Høje-Taastrup Kommune,Hoeje-Taastrup,Denmark,Europe,1
58489,Høje-Taastrup Municipality,Hoeje-Taastrup,Denmark,Europe,1
58511,"City of Richmond, CA","Richmond, CA",United States of America,North America,1
58513,City of Medford,Medford,United States of America,North America,3
58513,"City of Medford, MA",Medford,United States of America,United States of America,2
58528,Pristina Municipality,Pristina,Serbia,Europe,1
58530,"City of Northampton, MA",Northampton,United States of America,North America,3
58531,"City of Somerville, MA",Somerville,United States of America,North America,3
58531,"City of Somerville, MA",Somerville,United States of America,United States of America,2
58543,Byron Shire Council,Byron Shire,Australia,Oceania,2
58543,Byron Shire Council,Byron Shire,Australia,Southeast Asia and Oceania,3
58564,Chiayi City Government,nan,"Taiwan, Greater China",East Asia,1
58569,City of Podgorica,Podgorica,Montenegro,Europe,4
58569,Podgorica Capital City,Podgorica,Montenegro,Europe,1
58590,"City of Easton, PA",Easton,United States of America,North America,2
58590,"City of Easton, PA",Easton,United States of America,United States of America,2
58591,"City of Greenbelt, MD",nan,United States of America,North America,2
58591,"City of Greenbelt, MD",nan,United States of America,United States of America,2
58594,Burgas Municipality,Burgas,Bulgaria,Europe,1
58595,Municipalidad de Belén,Belén,Costa Rica,Latin America,5
58597,Municipalidad de La Unión,La Unión,Costa Rica,Latin America,5
58609,City of Ærøskøbing,Ærøskøbing,Denmark,Europe,3
58610,Municipality of Hjørring,Hjørring,Denmark,Europe,1
58613,City of York Council,York,United Kingdom of Great Britain and Northern Ireland,Europe,3
58621,Town of Blacksburg,Blacksburg,United States of America,North America,3
58621,"Town of Blacksburg, VA",Blacksburg,United States of America,United States of America,1
58626,"City of Racine, WI",nan,United States of America,North America,2
58626,"City of Racine, WI",nan,United States of America,United States of America,1
58627,"City of Alton, IL",Alton,United States of America,North America,3
58627,"City of Alton, IL",Alton,United States of America,United States of America,2
58636,"City of Bellingham, WA",Bellingham,United States of America,North America,1
58636,"City of Bellingham, WA",Bellingham,United States of America,United States of America,2
58668,"City of New Bedford, MA",New Bedford,United States of America,North America,3
58668,"City of New Bedford, MA",New Bedford,United States of America,United States of America,2
58670,City of Monrovia,Monrovia,Liberia,Africa,2
58671,Helsingør Kommune,Helsingør,Denmark,Europe,1
58671,Helsingør Kommune / Elsinore Municipality,Helsingør,Denmark,Europe,3
58671,Helsingør Municipality,Helsingør,Denmark,Europe,1
5871,Essex County Council,nan,United Kingdom of Great Britain and Northern Ireland,Europe,3
58783,Commune de Bakata,nan,Burkina Faso,Africa,2
58795,Blantyre City Council,Blantyre,Malawi,Africa,3
58796,Odder Kommune,Odder,Denmark,Europe,3
58797,Hørsholm Kommune,Hørsholm,Denmark,Europe,3
58865,Jammerbugt Kommune,Jammerbugt,Denmark,Europe,4
58867,City of Wisconsin Rapids,Wisconsin Rapids,United States of America,North America,1
58868,Regional Municipality of Durham,Durham,Canada,North America,1
58868,"Regional Municipality of Durham, ON",Durham,Canada,nan,1
58871,"City of Salem, MA",Salem,United States of America,North America,3
58871,"City of Salem, MA",Salem,United States of America,United States of America,2
59124,"City of Natchez, MS",Natchez,United States of America,North America,3
59124,"City of Natchez, MS",Natchez,United States of America,United States of America,1
59151,Akureyrarbær,Akureyri,Iceland,Europe,1
59151,City of Akureyri,Akureyri,Iceland,Europe,4
59156,City of Grand-Bassam,Grand-Bassam,Côte d'Ivoire,Africa,1
59158,Moroni City,Moroni,Comoros,Africa,2
59160,Ville de Nyon,Nyon,Switzerland,Europe,2
59160,Ville de Nyon,nan,Switzerland,Europe,1
59163,City of Tirana,Tirana,Albania,Europe,2
59163,Municipality of Tirana,Tirana,Albania,Europe,1
59165,Gladsaxe Kommune,Gladsaxe,Denmark,Europe,4
59165,Gladsaxe Municipality,Gladsaxe,Denmark,Europe,1
59166,Municipalidad de Independencia,Independencia,Chile,Latin America,5
59167,Municipalidad de Providencia,Providencia,Chile,Latin America,5
59168,Commune de Dioudoubou,Dioudoubou,Senegal,Africa,4
59180,Middelfart Kommune,Middelfart,Denmark,Europe,4
59180,Middelfart Municipality,Middelfart,Denmark,Europe,1
59298,City of Yaoundé 6,Yaoundé 6,Cameroon,Africa,3
59298,Yaoundé 6,Yaoundé 6,Cameroon,Africa,1
59531,"City of Santa Barbara, CA",nan,United States of America,North America,1
59532,"City of Hoboken, NJ",nan,United States of America,United States of America,2
59534,"City of Upper Arlington, OH",nan,United States of America,United States of America,1
59535,"Town of Vail, CO",Vail,United States of America,North America,3
59535,"Town of Vail, CO",Vail,United States of America,United States of America,2
59536,City of Kitchener,Kitchener,Canada,North America,3
59536,"City of Kitchener, ON",Kitchener,Canada,Canada,1
59536,"City of Kitchener, ON",Kitchener,Canada,nan,1
59537,"City of Denton, TX",Denton,United States of America,North America,3
59537,"City of Denton, TX",Denton,United States of America,United States of America,2
59538,City of Mississauga,Mississauga,Canada,North America,3
59538,"City of Mississauga, ON",Mississauga,Canada,Canada,1
59538,"City of Mississauga, ON",Mississauga,Canada,nan,1
59540,"City of Elgin, IL",Elgin,United States of America,North America,1
59540,"City of Elgin, IL",Elgin,United States of America,United States of America,1
59545,"City of Charlottesville, VA",Charlottesville,United States of America,North America,3
59545,"City of Charlottesville, VA",Charlottesville,United States of America,United States of America,2
59550,"City of Bend, OR",nan,United States of America,North America,1
59550,"City of Bend, OR",nan,United States of America,United States of America,1
59552,"City of Davis, CA","Davis, CA",United States of America,North America,2
59552,"City of Davis, CA","Davis, CA",United States of America,United States of America,1
59558,"City of Holland, MI",nan,United States of America,North America,1
59558,"City of Holland, MI",nan,United States of America,United States of America,1
59562,"City of Urbana, IL",nan,United States of America,North America,2
59562,"City of Urbana, IL",nan,United States of America,United States of America,1
59563,"City of Takoma Park, MD",Takoma Park,United States of America,North America,3
59563,"City of Takoma Park, MD",Takoma Park,United States of America,United States of America,2
59572,"District of Saanich, BC",Saanich,Canada,Canada,1
59572,"District of Saanich, BC",Saanich,Canada,North America,3
59572,"District of Saanich, BC",Saanich,Canada,nan,1
59580,"Town of Dedham, MA",nan,United States of America,North America,1
59588,"Town of Chapel Hill, NC",Chapel Hill,United States of America,North America,3
59588,"Town of Chapel Hill, NC",Chapel Hill,United States of America,United States of America,2
59595,"City of Brisbane, CA","Brisbane, CA",United States of America,North America,2
59605,"City of Colton, CA",nan,United States of America,United States of America,1
59631,"City of San Leandro, CA",San Leandro,United States of America,North America,3
59633,"City of Santa Cruz, CA","Santa Cruz, CA",United States of America,North America,3
59633,"City of Santa Cruz, CA","Santa Cruz, CA",United States of America,United States of America,2
59642,"City of Dublin, CA","Dublin, CA",United States of America,North America,3
59644,"City of Culver City, CA",Culver City,United States of America,North America,3
59644,"City of Culver City, CA",Culver City,United States of America,United States of America,2
59653,"City of Manhattan Beach, CA",Manhattan Beach,United States of America,North America,3
59653,"City of Manhattan Beach, CA",Manhattan Beach,United States of America,United States of America,2
59657,"City of Beaverton, OR",nan,United States of America,North America,2
59657,"City of Beaverton, OR",nan,United States of America,United States of America,2
59663,"City of New Westminster, BC",nan,Canada,nan,1
59666,"City of Grande Prairie, AB",nan,Canada,Canada,1
59666,"City of Grande Prairie, AB",nan,Canada,nan,1
59667,"City of Port Coquitlam, BC",nan,Canada,Canada,1
59667,"City of Port Coquitlam, BC",nan,Canada,nan,1
59669,City of North Vancouver,North Vancouver,Canada,North America,3
59669,"City of North Vancouver, BC",North Vancouver,Canada,Canada,1
59669,"City of North Vancouver, BC",North Vancouver,Canada,nan,1
59678,"City of Evanston, IL",Evanston,United States of America,North America,3
59678,"City of Evanston, IL",Evanston,United States of America,United States of America,1
59681,"Town of East Hampton, NY",nan,United States of America,North America,1
59696,"City of Longmont, CO",nan,United States of America,United States of America,2
59697,"City of Lake Worth, FL",Lake Worth,United States of America,North America,2
59703,"City of Menlo Park, CA",nan,United States of America,United States of America,1
59706,"City of Olympia, WA",nan,United States of America,United States of America,1
59707,"Town of Princeton, NJ",nan,United States of America,North America,2
59707,"Town of Princeton, NJ",nan,United States of America,United States of America,2
59708,"City of Bethlehem, PA",nan,United States of America,United States of America,2
59956,Banda Aceh City Government,nan,Indonesia,Southeast Asia and Oceania,1
59958,Tweed Shire Council,nan,Australia,Oceania,2
59958,Tweed Shire Council,nan,Australia,Southeast Asia and Oceania,1
59967,Adelaide Hills Council,nan,Australia,Oceania,1
59967,Adelaide Hills Council,nan,Australia,Southeast Asia and Oceania,1
59969,City of Mandurah,nan,Australia,Southeast Asia and Oceania,2
59971,Melton City Council,nan,Australia,Oceania,1
59971,Melton City Council,nan,Australia,Southeast Asia and Oceania,1
59985,City of Puerto Princesa,Puerto Princesa,Philippines,Southeast Asia,2
59985,City of Puerto Princesa,Puerto Princesa,Philippines,Southeast Asia and Oceania,1
59987,Hutt City Council,Hutt City,New Zealand,Oceania,1
59987,Hutt City Council,Hutt City,New Zealand,Southeast Asia and Oceania,1
59996,Batangas City,Batangas,Philippines,Southeast Asia,1
59996,Batangas City,Batangas,Philippines,Southeast Asia and Oceania,2
59998,Narayanganj City Corporation,nan,Bangladesh,South Asia,1
59998,Narayanganj City Corporation,nan,Bangladesh,South and West Asia,1
60003,Baguio City,nan,Philippines,Southeast Asia,1
60003,Baguio City,nan,Philippines,Southeast Asia and Oceania,1
60007,City of Santa Rosa,Santa Rosa,Philippines,Southeast Asia,1
60007,City of Santa Rosa,Santa Rosa,Philippines,Southeast Asia and Oceania,1
60009,Bacolod City,nan,Philippines,Southeast Asia,1
60011,City of San Jose del Monte,nan,Philippines,Southeast Asia,2
60011,City of San Jose del Monte,nan,Philippines,Southeast Asia and Oceania,1
60018,City of Zamboanga,nan,Philippines,Southeast Asia,1
60019,Rajshahi City Corporation,nan,Bangladesh,South Asia,1
60019,Rajshahi City Corporation,nan,Bangladesh,South and West Asia,1
60029,City of Cagayan de Oro,Cagayan de Oro,Philippines,Southeast Asia,1
60029,City of Cagayan de Oro,Cagayan de Oro,Philippines,Southeast Asia and Oceania,2
60044,Bhopal Municipal Corporation,nan,India,South Asia,1
60050,Guwahati Municipal Corporation,nan,India,South and West Asia,1
60053,Indore Municipal Corporation,nan,India,South Asia,1
60053,Indore Municipal Corporation,nan,India,South and West Asia,1
60069,Sheffield City Council,Sheffield,United Kingdom of Great Britain and Northern Ireland,Europe,1
60073,Wolverhampton City Council,Wolverhampton,United Kingdom of Great Britain and Northern Ireland,Europe,4
60078,City of Lappeenranta,Lappeenranta,Finland,Europe,1
60092,City of Porvoo,Porvoo,Finland,Europe,1
60092,Porvoon kaupunki,Porvoo,Finland,Europe,1
60102,Blackpool Council,Blackpool,United Kingdom of Great Britain and Northern Ireland,Europe,1
60104,Cambridge City Council,Cambridge,United Kingdom of Great Britain and Northern Ireland,Europe,5
60105,Kirklees Council,Huddersfield,United Kingdom of Great Britain and Northern Ireland,Europe,3
60108,Norwich City Council,Norwich,United Kingdom of Great Britain and Northern Ireland,Europe,5
60110,Municipality of Chişinău,Municipality of Chişinău,Republic of Moldova,Europe,1
60112,City of Debrecen,Debrecen,Hungary,Europe,1
60113,Dundee City Council,Dundee,United Kingdom of Great Britain and Northern Ireland,Europe,1
60114,City of Gdynia,Gdynia,Poland,Europe,3
60114,Miasto Gdynia,Gdynia,Poland,Europe,1
60115,Wakefield Council,Wakefield,United Kingdom of Great Britain and Northern Ireland,Europe,2
60116,Southampton City Council,Southampton,United Kingdom of Great Britain and Northern Ireland,Europe,1
60117,Winchester City Council,Winchester,United Kingdom of Great Britain and Northern Ireland,Europe,3
60125,Klaipeda City Municipality,Klaipeda,Lithuania,Europe,2
60125,Klaipėda City Municipality,Klaipeda,Lithuania,Europe,1
60125,Klaipėdos miesto savivaldybė,Klaipeda,Lithuania,Europe,1
60126,Tartu City Council,Tartu,Estonia,Europe,3
60127,Municipality of Thessaloniki,Thessaloniki,Greece,Europe,2
60140,City of Nakuru,Nakuru,Kenya,Africa,5
60142,City of Kisumu,Kisumu,Kenya,Africa,5
60153,City of Mombasa,Mombasa,Kenya,Africa,1
60167,Ville de Charleroi,Charleroi,Belgium,Europe,1
60168,Derry City & Strabane,Derry,United Kingdom of Great Britain and Northern Ireland,Europe,3
60178,Linköping Municipality,Linköping,Sweden,Europe,1
60178,Linköpings kommun,Linköping,Sweden,Europe,1
60185,City of Vantaa,Vantaa,Finland,Europe,1
60185,Vantaan kaupunki,Vantaa,Finland,Europe,1
60205,Commune Bizerte,Bizerte,Tunisia,Africa,1
60206,City of Jelgava,Jelgava,Latvia,Europe,1
60207,City of Windhoek,Windhoek,Namibia,Africa,1
60211,Bulawayo City Council,Bulawayo,Zimbabwe,Africa,1
60213,Šiauliai City Municipality,Šiauliai,Lithuania,Europe,2
60214,Liepāja City Council,Liepaja,Latvia,Europe,1
60216,City of Växjö,Växjö,Sweden,Europe,3
60216,Växjö Municipality,Växjö,Sweden,Europe,1
60216,Växjö kommun,Växjö,Sweden,Europe,1
60218,Karlskrona Municipality,Karlskrona,Sweden,Europe,1
60218,Municipality of Karlskrona,Karlskrona,Sweden,Europe,2
60223,Panevėžio miesto savivaldybė,Panevežys,Lithuania,Europe,1
60223,Panevėžys City Municipality,Panevežys,Lithuania,Europe,2
60229,Arendal Municipality,Arendal,Norway,Europe,1
60229,Arendal kommune,Arendal,Norway,Europe,1
60229,Municipality of Arendal,Arendal,Norway,Europe,3
60233,Pärnu City Government,Pärnu,Estonia,Europe,3
60236,Municipality of Trelleborg,Trelleborg,Sweden,Europe,3
60236,Trelleborg Municipality,Trelleborg,Sweden,Europe,1
60236,Trelleborgs kommun,Trelleborg,Sweden,Europe,1
60238,Söderhamns kommun,Söderhamn,Sweden,Europe,1
60254,Prefeitura de Bonito,Bonito,Brazil,Latin America,1
60258,Prefeitura de Brusque,Brusque,Brazil,Latin America,3
60264,Prefeitura de Botucatu,Botucatu,Brazil,Latin America,3
60267,Prefeitura de Guarujá,Guarujá,Brazil,Latin America,3
60268,Prefeitura de Brumadinho,Brumadinho,Brazil,Latin America,5
60271,Prefeitura de Bertioga,Bertioga,Brazil,Latin America,3
60272,Prefeitura de Campina Grande,Campina Grande,Brazil,Latin America,4
60273,Prefeitura de Extrema,Extrema,Brazil,Latin America,5
60274,Prefeitura de Cruzeiro do Sul,Cruzeiro do Sul,Brazil,Latin America,5
60276,Prefeitura de Assis,nan,Brazil,Latin America,1
60277,Prefeitura de Ilhabela,nan,Brazil,Latin America,1
60278,Prefeitura de Fernandópolis,Fernandópolis,Brazil,Latin America,3
60279,Prefeitura de Campos de Goytacazes,Campos de Goytacazes,Brazil,Latin America,3
60281,Prefeitura de Caucaia,nan,Brazil,Latin America,1
60284,Prefeitura de Angra dos Reis,Angra dos Reis,Brazil,Latin America,3
60287,Prefeitura de Feira de Santana,Feira de Santana,Brazil,Latin America,1
60290,Prefeitura de Brotas,Brotas,Brazil,Latin America,1
60292,Prefeitura de Jahu,Jahu,Brazil,Latin America,2
60295,Prefeitura de Jaguariúna,nan,Brazil,Latin America,2
60307,Prefeitura de Nova Friburgo,nan,Brazil,Latin America,2
60315,Prefeitura de Parauapebas,nan,Brazil,Latin America,1
60318,Prefeitura de Porto Velho,Porto Velho,Brazil,Latin America,5
60319,Prefeitura de Pato Branco,nan,Brazil,Latin America,1
60320,Prefeitura de Presidente Prudente,Presidente Prudente,Brazil,Latin America,5
60328,Prefeitura de Pirenópolis,Pirenópolis,Brazil,Latin America,2
60329,Prefeitura de Pindamonhangaba,nan,Brazil,Latin America,1
60332,Prefeitura de São Carlos,nan,Brazil,Latin America,2
60334,Prefeitura de Santarém,nan,Brazil,Latin America,1
60337,Prefeitura de Quissamã,nan,Brazil,Latin America,3
60339,Prefeitura de Anapolis,nan,Brazil,Latin America,1
60340,Prefeitura de Rio Verde,Rio Verde,Brazil,Latin America,2
60341,Prefeitura de Rio Grande,nan,Brazil,Latin America,1
60346,Prefeitura de Santa Barbara d'Oeste,Santa Barbara d'Oeste,Brazil,Latin America,1
60347,Prefeitura da Estância Climática de São Bento do Sapucaí,São Bento do Sapucaí,Brazil,Latin America,2
60348,Prefeitura de São José dos Pinhais,nan,Brazil,Latin America,1
60349,Prefeitura de São Leopoldo,São Leopoldo,Brazil,Latin America,5
60351,Prefeitura de Sobral,nan,Brazil,Latin America,2
60354,Prefeitura de São Sebastião,São Sebastião,Brazil,Latin America,1
60356,Prefeitura de Tupã,Tupã,Brazil,Latin America,4
60361,Prefeitura de Tangará da Serra,Tangará da Serra,Brazil,Latin America,5
60364,Alcaldía de Florencia,nan,Colombia,Latin America,1
60367,Alcaldía de Neiva,nan,Colombia,Latin America,1
60369,Alcaldía Municipal de Armenia,nan,Colombia,Latin America,3
60370,Alcaldía de Cúcuta,nan,Colombia,Latin America,1
60371,Alcaldía de Leticia,Leticia,Colombia,Latin America,2
60373,Alcaldía de Ríohacha,Ríohacha,Colombia,Latin America,1
60374,Alcaldía de Ibagué,Ibagué,Colombia,Latin America,4
60375,Gobiernación del Archipiélago de San Andrés,Archipiélago de San Andrés,Colombia,Latin America,2
60379,Alcaldía de Tunja,Tunja,Colombia,Latin America,3
60381,Alcaldía Distrital de Santa Marta,Santa Marta,Colombia,Latin America,5
60384,Alcaldía de Yopal,nan,Colombia,Latin America,3
60385,Alcaldía de Villavicencio,nan,Colombia,Latin America,4
60387,Alcaldía de Sincelejo,Sincelejo,Colombia,Latin America,2
60387,Alcaldíade Sincelejo,Sincelejo,Colombia,Latin America,2
60388,Municipalidad Provincial de Chiclayo,nan,Peru,Latin America,3
60391,Municipalidad de San Borja,San Borja,Peru,Latin America,5
60392,Municipalidad de San Isidro (Lima),San Isidro (Lima),Peru,Latin America,5
60393,Municipalidad de Santiago,Santiago,Chile,Latin America,5
60394,Gobierno Autónomo Municipal de Tarija,Tarija,Bolivia (Plurinational State of),Latin America,5
60398,Municipalidad de Copiapó,nan,Chile,Latin America,1
60399,Municipalidad de Miraflores,Miraflores,Peru,Latin America,5
60400,Municipalidad de Temuco,nan,Chile,Latin America,4
60407,Municipalidad de Colina,Colina,Chile,Latin America,1
60408,Municipalidad de Talca,nan,Chile,Latin America,3
60409,Municipalidad Provincial de Callao,nan,Peru,Latin America,3
60410,Municipalidad de Peñalolén,Peñalolén,Chile,Latin America,5
60413,Municipalidad de La Serena,La Serena,Chile,Latin America,4
60414,Municipalidad Venado Tuerto,nan,Argentina,Latin America,3
60416,Municipalidad de San Isidro (Argentina),San Isidro (Argentina),Argentina,Latin America,2
60417,Municipalidad de San Carlos de Bariloche,nan,Argentina,Latin America,2
60419,Municipalidad de Rio Grande,Rio Grande,Argentina,Latin America,3
60423,Municipalidad de la Ciudad de Neuquén,nan,Argentina,Latin America,2
60433,City of Hvidovre,Hvidovre,Denmark,Europe,3
60433,Hvidovre Kommune,Hvidovre,Denmark,Europe,1
60433,Hvidovre Municipality,Hvidovre,Denmark,Europe,1
60546,Nanjing Municipal People's Government,Nanjing,China,East Asia,5
60577,Frederikshavn Kommune,Frederikshavn,Denmark,Europe,2
60588,City of Alba-Iulia,Alba-Iulia,Romania,Europe,3
60588,Municipiul Alba Iulia,Alba-Iulia,Romania,Europe,1
60599,"Town of Bridgewater, NS",Bridgewater,Canada,Canada,1
60599,"Town of Bridgewater, NS",Bridgewater,Canada,North America,3
60599,"Town of Bridgewater, NS",Bridgewater,Canada,nan,1
60600,"Town of Gibsons, BC",nan,Canada,Canada,1
60602,"Town of Ajax, ON","Ajax, ON",Canada,Canada,1
60602,"Town of Ajax, ON","Ajax, ON",Canada,North America,1
60603,"City of Prince George, BC",Prince George,Canada,Canada,1
60603,"City of Prince George, BC",Prince George,Canada,North America,3
60603,"City of Prince George, BC",Prince George,Canada,nan,1
60621,Lilongwe City Council,Lilongwe,Malawi,Africa,3
60633,La mairie de Bujumbura,Bujumbura,Burundi,Africa,5
60638,Walvis Bay Municipality,Walvis Bay,Namibia,Africa,5
60640,Mbabane City Council,Mbabane,Eswatini,Africa,2
60642,Rundu Town Council,Rundu,Namibia,Africa,1
60652,Morogoro Municipal Council,Morogoro,United Republic of Tanzania,Africa,1
60656,"City of Piedmont, CA",Piedmont,United States of America,North America,3
60656,"City of Piedmont, CA",Piedmont,United States of America,United States of America,2
60679,"Town of Surfside, FL",Surfside,United States of America,North America,1
60898,Ayuntamiento de Naucalpan de Juárez,Naucalpan de Juárez,Mexico,Latin America,3
60905,Municipalidad de Maipú,nan,Chile,Latin America,2
60906,Municipalidad de Vitacura,nan,Chile,Latin America,4
61427,Municipality of Nacala,Nacala,Mozambique,Africa,3
61467,Dipolog City,nan,Philippines,Southeast Asia,2
61467,Dipolog City,nan,Philippines,Southeast Asia and Oceania,1
61753,Yilan County Government,Yilan County,"Taiwan, Greater China",East Asia,2
61790,"City of Emeryville, CA",Emeryville,United States of America,North America,3
61790,"City of Emeryville, CA",Emeryville,United States of America,United States of America,2
61876,Mazabuka Municipal Council,Mazabuka,Zambia,Africa,2
62171,Metropolitan Municipality of Rouen,ROUEN Cedex,France,Europe,1
62171,Métropole de Rouen,ROUEN Cedex,France,Europe,1
62180,Communauté urbaine du Grand Nancy,Nancy,France,Europe,3
62407,Blacktown City Council,nan,Australia,Oceania,1
62791,City of Botosani,Botosani,Romania,Europe,3
62814,Municipalidad de Pica,Pica,Chile,Latin America,1
62817,"City of Ithaca, NY",nan,United States of America,North America,1
62817,"City of Ithaca, NY",nan,United States of America,United States of America,1
62855,Egedal Kommune,Egedal,Denmark,Europe,1
62855,Egedal Municipality,Egedal,Denmark,Europe,3
62864,"City of Lancaster, PA","Lancaster, PA",United States of America,North America,2
62868,Eskişehir Metropolitan Municipality,Eskişehir,Turkey,Europe,5
63430,Northern Beaches Council,nan,Australia,Oceania,2
63542,Lejre Kommune,Lejre,Denmark,Europe,1
63543,Fredensborg Kommune,Fredensborg,Denmark,Europe,4
63562,"City of South Bend, IN",South Bend,United States of America,North America,3
63562,"City of South Bend, IN",South Bend,United States of America,United States of America,2
63601,"Township of Maplewood, NJ",Maplewood,United States of America,North America,3
63601,"Township of Maplewood, NJ",Maplewood,United States of America,United States of America,2
63608,City of Melville,nan,Australia,Oceania,1
63615,Hillerød Kommune,Hillerød,Denmark,Europe,3
63616,Abasan Al-Kabira Municipality,Abasan Al-Kabira,State of Palestine,Middle East,5
63762,Metropolitan Washington Council of Governments (COG),nan,United States of America,North America,1
63836,Vadodara Municipal Corporation,nan,India,South Asia,1
63836,Vadodara Municipal Corporation,nan,India,South and West Asia,1
63862,"City of Ashland, OR",nan,United States of America,North America,2
63862,"City of Ashland, OR",nan,United States of America,United States of America,1
63919,"City of Saratoga Springs, NY",Saratoga Springs,United States of America,North America,3
63941,"Broward County, FL",Broward,United States of America,North America,3
63941,"Broward County, FL",Broward,United States of America,United States of America,2
63999,"City of Miami Beach, FL",Miami Beach,United States of America,North America,3
63999,"City of Miami Beach, FL",Miami Beach,United States of America,United States of America,2
64014,City of Cupertino,Cupertino,United States of America,North America,2
64014,"City of Cupertino, CA",Cupertino,United States of America,United States of America,2
68250,City of Canada Bay,nan,Australia,Oceania,1
68265,Georges River Council,nan,Australia,Oceania,1
68267,Sutherland Shire Council,nan,Australia,Oceania,1
68268,Brighton Council,nan,Australia,Oceania,1
68290,Wyndham City Council,nan,Australia,Oceania,1
68290,Wyndham City Council,nan,Australia,Southeast Asia and Oceania,2
68296,Hobsons Bay City Council,nan,Australia,Southeast Asia and Oceania,2
68337,Bekasi City Government,nan,Indonesia,Southeast Asia,1
68337,Bekasi City Government,nan,Indonesia,Southeast Asia and Oceania,1
68371,Municipio Distrital del Rimac,Rimac,Peru,Latin America,1
68373,Prefeitura de Pedreira,nan,Brazil,Latin America,4
68375,Prefeitura de Abaetetuba,nan,Brazil,Latin America,2
68378,Municipalidad de Santiago de Surco,Santiago de Surco,Peru,Latin America,5
68383,Prefeitura de Itatiba,Itatiba,Brazil,Latin America,4
68384,Prefeitura de Engenheiro Coelho,nan,Brazil,Latin America,2
68385,Municipio La Chorrera,Chorrera,Panama,Latin America,3
68385,Municipio de Chorrera,Chorrera,Panama,Latin America,2
68388,Prefeitura de Morungaba,Morungaba,Brazil,Latin America,3
69822,Kristianstad,nan,Sweden,Europe,1
69822,Kristianstads kommun,nan,Sweden,Europe,1
69823,Visby,Visby,Sweden,Europe,2
69824,Västervik,Västervik Municipality,Sweden,Europe,2
69824,Västervik Municipality,Västervik Municipality,Sweden,Europe,1
69824,Västerviks kommun,Västervik Municipality,Sweden,Europe,1
69834,Municipalidad de General Alvear (Mendoza),"General Alvear, Buenos Aires",Argentina,Latin America,4
69840,Município de Itacoatiara,nan,Brazil,Latin America,2
69848,Municipio de Loja,Loja,Ecuador,Latin America,5
69849,Santa Cruz de Galápagos,Santa Cruz de Galápagos,Ecuador,Latin America,1
69850,Municipalidad de Comas,Comas,Peru,Latin America,5
69967,Alcaldia de Tulua,Tulua,Colombia,Latin America,1
69968,Alcaldia de Rionegro,Rionegro,Colombia,Latin America,4
69973,Alcaldia de Barrancabermeja,Barrancabermeja,Colombia,Latin America,2
69985,Sillamäe,Sillamäe,Estonia,Europe,2
69995,City of Kemi,Kemi,Finland,Europe,1
69995,Kemi,Kemi,Finland,Europe,3
69995,Kemin kaupunki,Kemi,Finland,Europe,1
69999,City of Greifswald,Greifswald,Germany,Europe,1
69999,Greifswald,Greifswald,Germany,Europe,3
70005,Tauragė,Taurage,Lithuania,Europe,3
70005,Tauragė District Municipality,Taurage,Lithuania,Europe,1
70005,Tauragės rajono savivaldybė,Taurage,Lithuania,Europe,1
70017,Alcaldia de Palmira,Palmira,Colombia,Latin America,2
70247,Hsinchu City Government,Hsinchu,"Taiwan, China",East Asia,1
